PLAYER,SKATER SHOOTS,POSITION,GAMES PLAYED,GOALS,ASSISTS,POINTS,PENALTY MINUTES,SHOTS,SHOOTING PERCENTAGE,TEAM ID
Mattias Samuelsson,L,D,62,4,10,14,22,52,7.7,BUF
Adam Boqvist,R,D,35,4,10,14,10,40,10,"FLA,NYI"
J.J. Moser,L,D,54,2,12,14,22,48,4.2,TBL
Jacob Trouba,R,D,77,1,13,14,66,111,0.9,"NYR,ANA"
John Marino,R,D,35,1,13,14,2,30,3.3,UTA
Logan Stanley,L,D,63,1,13,14,78,49,2,WPG
Ilya Lyubushkin,R,D,80,1,13,14,32,51,2,DAL
Tanner Jeannot,L,L,67,7,6,13,89,56,12.5,LAK
Tye Kartye,L,L,63,6,7,13,43,56,10.7,SEA
Justin Barron,R,D,62,6,7,13,23,73,8.2,"MTL,NSH"
Max Pacioretty,L,L,37,5,8,13,16,70,7.1,TOR
David Kampf,L,C,59,5,8,13,14,45,11.1,TOR
Dmitry Kulikov,L,D,70,4,9,13,38,64,6.3,FLA
Ben Chiarot,L,D,81,4,9,13,69,109,3.7,DET
Carson Soucy,L,D,75,4,9,13,46,81,4.9,"VAN,NYR"
Zach Whitecloud,R,D,74,4,9,13,37,72,5.6,VGK
Drew Helleson,R,D,56,4,9,13,47,63,6.4,ANA
Denton Mateychuk,L,D,45,4,9,13,20,44,9.1,CBJ
Ryan Lomberg,L,L,80,3,10,13,57,66,4.6,CGY
Ty Emberson,R,D,76,2,11,13,18,62,3.2,EDM
Jayden Struble,L,D,56,2,11,13,52,47,4.3,MTL
Artem Zub,R,D,56,2,11,13,34,57,3.5,OTT
Sam Colangelo,R,R,32,10,2,12,2,41,24.4,ANA
Trevor Lewis,R,C,60,6,6,12,20,53,11.3,LAK
Alec Martinez,L,D,44,5,7,12,8,38,13.2,CHI
Noel Acciari,R,C,79,5,7,12,16,75,6.7,PIT
Nicolas Hague,L,D,68,5,7,12,40,74,6.8,VGK
Marat Khusnutdinov,L,C,75,5,7,12,20,41,12.2,"MIN,BOS"
Cole Smith,L,R,71,4,8,12,69,69,5.8,NSH
Alexander Holtz,R,R,53,4,8,12,10,69,5.8,VGK
Brayden Pachal,R,D,76,3,9,12,88,61,4.9,CGY
Kevin Labanc,R,R,34,2,10,12,12,35,5.7,CBJ
